"NUM_CLIENT"	"SOLDE"
936	0
937	0
938	0
939	295,078
940	0
941	0
942	-17
943	-63
944	-44
945	0
946	-478,091
947	0
948	0
949	-242,583
950	0
951	0
952	0
953	0
954	0
955	0
956	-7735,94
957	0
958	0
959	0
960	0
961	0
962	0
963	0
964	0
965	0
966	-993,538
967	0
968	0
969	0
970	0
971	0
972	-0,612
973	-54
974	0
975	-9133,295
976	-3673,91
977	0
978	0
979	-1392,908
980	0
981	0
982	0
983	-1255,294
984	0
985	0
986	0
987	0
988	0
989	0
990	0
991	0
992	0
993	-27
994	0
995	0
996	-1002
997	-55000
998	0
999	0
1000	-16295,711
1001	-6266,5
1002	-1167,861
1003	0
1004	-1108,8
1005	-8006,817
1006	0
1007	0
1008	0
1009	-33,5
1010	0
1011	0
1012	0
1013	0
1014	0
1015	-91
1016	0
1017	0
1018	0
1019	0
1020	0
1021	0
1022	0
1023	0
1024	0
1025	0
1026	0
1027	0
1028	0
1029	-325,872
1030	-4707,994
1031	0
1032	0
1033	0
1034	-1287,134
1035	-6665,084
1036	-1011,417
1037	0
1038	0
1039	0
1040	0
1041	0
1042	-678,384
1043	-511,019
1044	-1170,123
1045	0
1046	-0,06
1047	0
1048	-43,8
1049	0
1050	0
1051	0
1052	0
1053	-940,394
1054	0
1055	0
1056	-69
1057	-43727,218
1058	0
1059	6343,91
1060	199,905
1061	0
1062	-4726,088
1063	-1318,366
1064	-4392,332
1065	0
1066	-25848,794
1067	-81
1068	-0,202
1069	0
1070	-28721,863
1071	-1071,553
1072	0
1073	0
1074	0
1075	-269,289
5011	-30000
5016	-112,74
5000	0
5001	0
3141	0
3142	0
3143	0
3144	0
3145	0
3146	0
3147	0
3148	-569,03
3149	0
3150	-494544,721
3151	0
3152	0
3153	-387,096
3154	0
3155	-392,98
3156	0
3157	0
3158	0
3159	0
3160	-210,78
3161	0
3162	0
3163	0
3164	0
3165	0
3166	0
3167	0
3168	0
3169	0
3170	-0,191
3171	0
3172	0
3173	0
3174	0
3175	0
3176	-187,572
3177	-1047,6
3178	0
3179	0
3180	0
3181	-30,684
3182	0
3183	-503,405
3184	-741,116
3185	-1907,132
3186	0
3187	2593,2
3188	2593,2
3189	49078,4
3190	-1972,297
3191	-9138,272
3192	-4906,858
3193	-24
3194	-235,08
3195	-523,26
3196	0
3197	-649,114
3198	0
3199	0
3200	0
3201	-24
3202	0
3203	0
3204	0
3205	-486,116
3206	0
3207	0
3208	0
3209	0
3210	-241,888
3211	0
3212	0
3213	0
3214	0
3215	-6892,035
3216	-2051,294
3217	-2,636
3218	0
3219	0
3220	0
3221	0
3222	0
3223	0
3224	0
3225	0
3226	0
3227	0
3228	-29348,76
3229	-8965,281
3230	0
3231	0
3232	0
3233	0
3234	-2582,252
3235	0
3236	-747,28
3237	0
3238	-4482,409
3239	-49990
3240	0
3241	0
3242	0
3243	0
3244	0
3245	0
3246	-22135,261
3247	0
3248	0
3249	-509,212
3250	0
3251	0
3252	0
3253	0
3254	0
3255	-1009,48
3256	0
3257	0
3258	-376,724
3259	0
3260	-235,14
3261	-3997,92
3262	-952,4
3263	0
3264	0
3265	0
3266	-5320,944
3267	0
3268	0
3269	0
3270	0
